CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
6-8.R.H.1,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.1,Cite specific textual evidence to support analysis of primary and secondary sources.
6-8.R.H.2,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.2,Determine the central ideas of a primary or secondary source.
6-8.R.H.2,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.3,Identify the key details of information of a primary or secondary source.
6-8.R.H.2,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.4,Provide an accurate summary of a source distinct from prior knowledge or opinions.
6-8.R.H.3,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.5,"Identify key steps in a text‰Ûªs description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered)."
6-8.R.H.4,OLO ELA,Middle School,History & Social Studies Vocabulary,OLO.6.8.HSV.1,Determine the meaning of general academic words and phrases as they are used in a text.
6-8.R.H.4,OLO ELA,Middle School,History & Social Studies Vocabulary,OLO.6.8.HSV.2,Determine the meaning of words and phrases specific to the domains of history/social studies.
6-8.R.H.5,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.6,"Describe how a text presents information (e.g., sequentially, comparatively, causally)."
6-8.R.H.6,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.7,"Identify aspects of a text that reveal an author‰Ûªs point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts)."
6-8.R.H.7,OLO ELA,Middle School,Informative Text Features,OLO.6.8.ITF.1,"Integrate visual information (e.g., in charts, graphs, photographs, videos, or maps) with other information in print and digital texts."
6-8.R.H.8,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.8,"Distinguish among fact, opinion, and reasoned judgment in a text."
6-8.R.H.9,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.9,Analyze the relationship between a primary and secondary source on the same topic.
6-8.R.H.10,OLO ELA,Middle School,History & Social Studies Text,OLO.6.8.HST.10,"By the end of grade 8, read and comprehend history/social studies texts in the grades 6‰ÛÒ8 text complexity band independently and proficiently."
6-8.R.STT.1,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.1,Cite specific textual evidence to support analysis of texts on science and technology.
6-8.R.STT.2,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.2,Determine the central ideas of scientific and technical texts.
6-8.R.STT.2,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.3,Determine the conclusions in scientific and technical texts.
6-8.R.STT.2,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.4,Provide an accurate summary of the scientific or technical text distinct from prior knowledge or opinions.
6-8.R.STT.3,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.5,"Follow precisely a multistep procedure (e.g.conducting experiments, taking measurements, or performing technical tasks)."
6-8.R.STT.4,OLO ELA,Middle School,Science & Technology Vocabulary,OLO.6.8.STV.1,"Determine the meaning of scientific symbols (e.g. symbols of elements, chemical formulae, temperature, and measurements)"
6-8.R.STT.4,OLO ELA,Middle School,Science & Technology Vocabulary,OLO.6.8.STV.2,Determine and distinguish the meaning of common and scientific nomenclature. ( e.g. coyote vs. Canis Latrans)
6-8.R.STT.4,OLO ELA,Middle School,Science & Technology Vocabulary,OLO.6.8.STV.3,Determine the meaning of mathematical symbols as applied to scientific and technical texts.
6-8.R.STT.4,OLO ELA,Middle School,Science & Technology Vocabulary,OLO.6.8.STV.4,Determine the meaning of domain-specific terms and words used in scientific and technical topics and texts relevant to grades 6-8.
6-8.R.STT.5,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.5,Analyze the structure an author uses to organize a text on science and technology.
6-8.R.STT.5,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.6,Analyze how major sections contribute to the whole text and support understanding of a scientific or technical topic.
6-8.R.STT.6,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.7,"Analyze the author‰Ûªs purpose in providing an explanation, describing a procedure, or discussing an experiment in a text."
6-8.R.STT.7,OLO ELA,Middle School,Informative Text Features,OLO.6.8.ITF.2,"Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table)."
6-8.R.STT.8,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.8,"Distinguish among facts, reasoned judgment based on research findings, and speculation in a text."
6-8.R.STT.9,OLO ELA,Middle School,Informative Text Features,OLO.6.8.ITF.3,Compare and contrast information gained from experiments and simulations with that gained from reading a text on the same topic
6-8.R.STT.9,OLO ELA,Middle School,Informative Text Features,OLO.6.8.ITF.4,Compare and contrast information gained from video and multimedia sources with that gained from reading a text on the same topic.
6-8.R.STT.10,OLO ELA,Middle School,Science & Technology Text,OLO.6.8.STT.9,"By the end of grade 8, read and comprehend science/technical texts in the grades 6‰ÛÒ8 text complexity band independently and proficiently."
6-8.W.HST.1,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.1,"Write arguments focused on discipline-specific content (e.g. history/social studies, science, technology)."
6-8.W.HST.1.a,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.2,"Introduce claim(s) about a topic or issue (e.g. historic, scientific, technical)."
6-8.W.HST.1.a,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.3,Acknowledge and distinguish the claim(s) from alternate or opposing claims on a discipline-specific topic or issue.
6-8.W.HST.1.a,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.4,Organize the reasons and evidence logically to support claims about a topic or issue.
6-8.W.HST.1.b,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.5,Support claim(s) with logical reasoning and rhetoric that demonstrate an understanding of the topic or text.
6-8.W.HST.1.b,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.6,Support claim(s) with accurate data and evidence that demonstrate an understanding of the topic or text
6-8.W.HST.1.c,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.7,"Use words, phrases, and clauses to create cohesion in an argumentative text."
6-8.W.HST.1.c,OLO ELA,Middle School,Writing Domain-Specific Argument,OLO.6.8.WDA.8,"Use words, phrases, and clauses to clarify the relationships among claim(s), counterclaims, reasons, and evidence in an argumentative text."
6-8.W.HST.1.d,OLO ELA,Middle School,Writing General,OLO.6.8.WG.1,Establish and maintain a formal style.
6-8.W.HST.1.e,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.1,Provide a concluding statement or section that follows from and supports the argument presented.
6-8.W.HST.2,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.2,"Write informative/explanatory texts (e.g. narration of historical events, explanation of scientific procedures/ experiments, and description of technical processes)."
6-8.W.HST.2.a,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.3,"Introduce a topic clearly, previewing what is to follow in a text."
6-8.W.HST.2.a,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.4,"Organize ideas, concepts, and information into broader categories as appropriate to achieving purpose. "
6-8.W.HST.2.a,OLO ELA,Middle School,Informative Text Features,OLO.6.8.ITF.5,"Include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
6-8.W.HST.2.b,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.5,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples."
6-8.W.HST.2.c,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.6,Use appropriate and varied transitions to create cohesion
6-8.W.HST.2.c,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.6,Use appropriate and varied transitions to clarify the relationships among ideas and concepts.
6-8.W.HST.2.d,OLO ELA,Middle School,Domain-Specific Vocabulary,OLO.6.8.DV.1,Use precise academic language to inform about or explain the topic.
6-8.W.HST.2.d,OLO ELA,Middle School,Domain-Specific Vocabulary,OLO.6.8.DV.2,Use domain-specific vocabulary to inform about or explain the topic.
6-8.W.HST.2.e,OLO ELA,Middle School,Writng General,OLO.6.8.WG.1,Establish and maintain a formal style and objective tone.
6-8.W.HST.2.f,OLO ELA,Middle School,Writing Domain-Specific Information,OLO.6.8.WDI.7,Provide a concluding statement or section that follows from and supports the information or explanation presented.
6-8.W.HST.4,OLO ELA,Middle School,Writng General,OLO.6.8.WG.2,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience."
6-8.W.HST.5,OLO ELA,Middle School,Writng General,OLO.6.8.WG.3,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach."
6-8.W.HST.5,OLO ELA,Middle School,Writng General,OLO.6.8.WG.4,"With some guidance and support from peers and adults focus on and address the task, purpose, and audience in writing."
6-8.W.HST.6,OLO ELA,Middle School,Writng General,OLO.6.8.WG.5,Use technology in both localized computer files and shared online texts to produce and publish writing.
6-8.W.HST.6,OLO ELA,Middle School,Writng General,OLO.6.8.WG.6,Use technology to present the relationship between ideas and information clearly.
6-8.W.HST.7,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.1,Conduct short research projects to answer a question (including a self-generated question)
6-8.W.HST.7,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.2,Draw on several credible print and digital sources.
6-8.W.HST.7,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.3,"Generate additional related, focused research questions that allow for multiple avenues of exploration."
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.4,Evaluate the authority and reliability of both print and digital sources.
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.5,Gather relevant information from multiple authoritative print and digital sources.
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.6,Assess the usefulness of each source in answering the research question.
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.7,Use advanced search terms and fields effectively to find relevant sources.
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.8,Integrate information into the text selectively to maintain the flow of ideas.
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.9,Avoid plagiarism when quoting or paraphrasing the data or conclusions of others.
6-8.W.HST.8,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.10,Following a standard format for citation of quotations and sources.
6-8.W.HST.9,OLO ELA,Middle School,Research Projects,OLO.6.8.RP.11,"Draw evidence from informational texts to support analysis reflection, and research."
6-8.W.HST.10,OLO ELA,Middle School,Writing General,OLO.6.8.WG.7,"Write routinely over extended time frames (time for reflection and revision  for a range of discipline-specific tasks, purposes, and audiences."
6-8.W.HST.10,OLO ELA,Middle School,Writing General,OLO.6.8.WG.8,"Write routinely over shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
