CCSS ID,Standard Group,Grade Group,Category ,OLO ID,OLO Description
9-10.R.H.1,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.1,"Cite specific textual evidence (e.g. date, origin of the source, type of text) to support analysis of primary and secondary sources."
9-10.R.H.2,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.2,Determine the central ideas of primary and secondary sources.
9-10.R.H.2,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.3,Determine the key details of information in primary and secondary sources.
9-10.R.H.2,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.4,Summarize accurately how key events and ideas develop over the course of the text.
9-10.R.H.3,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.5,Analyze in detail a series of events described in a text.
9-10.R.H.3,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.6,Distinguish which earlier events either preceded or caused later events presented in the text.
9-10.R.H.4,OLO ELA,High School,History & Social Studies Vocabulary,OLO.9.10.HSV.1,Determine the meaning of general academic words and phrases as they are used in a text.
9-10.R.H.4,OLO ELA,High School,History & Social Studies Vocabulary,OLO.9.10.HSV.2,"Determine the meaning of domain-specific History & Social Studies Vocabulary describing political, social, or economic aspects of history/social science."
9-10.R.H.5,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.7,Analyze how a text uses structure to emphasize key points of information.
9-10.R.H.5,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.8,Analyze how a text uses its structure to advance an explanation or analysis of facts.
9-10.R.H.6,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.9,Compare and contrast the point of view of two or more authors writing on similar topics.
9-10.R.H.6,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.10,Compare and contrast those details included and emphasized in the accounts of two or more authors writing on similar topics.
9-10.R.H.7,OLO ELA,High School,Informative Text Features,OLO.9.10.ITF.1,"Integrate quantitative or technical analysis (e.g., charts, Research Projects data) with qualitative analysis in print or digital text."
9-10.R.H.8,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.11,Assess the extent to which the reasoning and evidence in a text support the author‰Ûªs claims
9-10.R.H.9,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.12,Compare and contrast treatments of the same topic in several primary and secondary sources.
9-10.R.H.10,OLO ELA,High School,History & Social Studies Text,OLO.9.10.HST.13,"By the end of grade 10, read and comprehend history/social studies texts in the grades 9‰ÛÒ10 text complexity band independently and proficiently."
9-10.R.STT.1,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.1,"Cite specific textual evidence (e.g. precise details, explanations, descriptions) to support analysis of scientific and technical texts."
9-10.R.STT.2,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.2,Determine the central ideas or conclusions of scientific and technical texts.
9-10.R.STT.2,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.3,Trace the text‰Ûªs explanation or depiction of a complex process.
9-10.R.STT.2,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.4,Trace the text‰Ûªs explanation or depiction of phenomena and concepts. 
9-10.R.STT.2,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.5,Provide an accurate summary of scientific and technical texts.
9-10.R.STT.3,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.6,"Follow precisely a complex multistep procedure presented in a text (e.g. experiments, technical processes)."
9-10.R.STT.3,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.7,Take into account those special cases or exceptions in a multistep procedure that a text presents.
9-10.R.STT.4,OLO ELA,High School,Science & Technology Vocabulary,OLO.9.10.STV.1,"Determine the meaning of scientific symbols (e.g. symbols of elements, chemical formulae, temperature, and measurements)"
9-10.R.STT.4,OLO ELA,High School,Science & Technology Vocabulary,OLO.9.10.STV.2,Determine and distinguish the meaning of common and scientific nomenclature. ( e.g. coyote vs. Canis Latrans)
9-10.R.STT.4,OLO ELA,High School,Science & Technology Vocabulary,OLO.9.10.STV.3,Determine the meaning of mathematical symbols as applied to scientific and technical texts.
9-10.R.STT.4,OLO ELA,High School,Science & Technology Vocabulary,OLO.9.10.STV.4,Determine the meaning of domain-specific terms and words used in scientific and technical topics and texts relevant to grades 9-10.
9-10.R.STT.5,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.8,Analyze the structure of the relationships among concepts in a text.
9-10.R.STT.5,OLO ELA,High School,Science & Technology Vocabulary,OLO.9.10.STV.5,"Analyze the relationships among key terms in a text. (e.g., force, friction, reaction force, energy)."
9-10.R.STT.6,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.9,Analyze authors' purposes and their questions when they are explaining phenomena in a text.
9-10.R.STT.6,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.10,Analyze authors' purposes and their questions when they are describing a technical procedure in a text.
9-10.R.STT.6,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.11,Analyze authors' purposes and their questions when they are discussing a scientific experiment in a text.
9-10.R.STT.7,OLO ELA,High School,Informative Text Features,OLO.9.10.ITF.2,"Translate quantitative or technical information expressed in words in a text into visual form (e.g., a table or chart)"
9-10.R.STT.7,OLO ELA,High School,Informative Text Features,OLO.9.10.ITF.3,"Translate information expressed visually or mathematically (e.g., in an equation) into words."
9-10.R.STT.8,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.12,Assess how well the reasoning and evidence in a text support an author's claim.
9-10.R.STT.8,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.13,Assess how well the reasoning and evidence in a text support an author's recommended solution to scientific and technical problems.
9-10.R.STT.9,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.14,"Compare and contrast findings presented in a text to those from other sources of information. (e.g. experiments, observations, design models)"
9-10.R.STT.9,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.15,Distinguish among those text findings that support previous explanations or accounts from those that contradict them.
9-10.R.STT.10,OLO ELA,High School,Science & Technology Text,OLO.9.10.STT.16,"By the end of grade 10, read and comprehend science/technical texts in the grades 9‰ÛÒ10 text complexity band independently and proficiently"
9-10.W.HST.1,OLO ELA,High School,Writing Domain-Specific Argument,OLO.9.10.WDA.1,"Write arguments focused on discipline-specific content. (e.g. history, science, technology)"
9-10.W.HST.1.a,OLO ELA,High School,Writing Domain-Specific Argument,OLO.9.10.WDA.2,Introduce precise claim(s) in a discpline-specific argument.
9-10.W.HST.1.a,OLO ELA,High School,Writing Domain-Specific Argument,OLO.9.10.WDA.3,Distinguish the claim(s) from alternate or opposing claims (e.g. counterclaims) in discipline-specific arguments.
9-10.W.HST.1.a,OLO ELA,High School,Writing Domain-Specific Argument,OLO.9.10.WDA.4,"Create an organization that establishes clear relationships among the claim(s), counterclaims, reasons, and evidence in discipline-specific arguments."
