CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description 
3.RI.1,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.1,"Ask and answer questions about an expository (e.g. informative) text by referring to specific details and facts in works of history/social studies, science, and technology."
3.RI.1,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.2,"Use historic, scientific, technical or other details to explain what a text says explicitly."
4.RI.1,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.3,"Draw inferences about an informative text by referring to its details, facts, and examples."
3.RI.2,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.4,"Determine the main idea of an informative text (e,g, texts in history/social studies, science, and technology)."
"3.RI.2, 4.RI.2",OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.5,Explain how key details of an informative text and support the main idea.
4.RI.2,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.6,"Summarize an informative text, including the main idea and key details."
3.RI.3,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.7,"Identify and describe the relationship between historical events, scientific procedures, or technical steps found in an informative text."
4.RI.3,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.8,"Explain a sequence of events, procedures, or steps found in an informative text."
4.RI.5,OLO.ELA,Elementary,Expository Text,OLO.TF.3.4.9,"Identify and describe the organizational structure of an informative text (e.g.chronological, compare-contrast, cause-effect, problem-solution)."
3.RI.6,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.10,Distinguish their own point of view from that of the author of an expository text.
4.RI.6,OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.11,Compare and contrast a firsthand and secondhand account of the same event or topic.
"3.RI.8, 4.RI.8",OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.12,"Identify and describe the logical connections within a given structure (e.g. compare/contrast, cause/effect) between sentences and paragraphs in the text."
"4.RI.8, 5.RI.8",OLO.ELA,Elementary,Expository Text,OLO.ET.3.4.13,Explain how an author uses reasons and evidence to support points of information in a text.
