CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
"6.RI.8, 7.RI.8, 8.RI.8",OLO.ELA,Middle,Argumentative Text,OLO.AT.7.8.1,Trace and evaluate the argument developed in a persuasive text.
"6.RI.8, 7.RI.8, 8.RI.8",OLO.ELA,Middle,Argumentative Text,OLO.AT.7.8.2,Trace and evaluate specific claims in an argumentative text that serve to support its argument.
6.RI.8,OLO.ELA,Middle,Argumentative Text,OLO.AT.7.8.3,Distinguish claims that are supported by reasons and evidence from those claims that are not.
"7.RI.8, 8.RI.8",OLO.ELA,Middle,Argumentative Text,OLO.AT.7.8.4,"Evaluate whether or not the appeals (e.g. logos, pathos, ethos) and rhetoric are reasonable and relevant enough to advance an argument."
"7.RI.1, 8.RI.1",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.1,"Cite textual evidence from expository texts in history, social studies, science, and technology."
"7.RI.1, 8.RI.1",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.2,Support an analysis of explicit meanings in an expository text by using cited textual evidence.
"7.RI.1, 8.RI.1",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.3,Support inferences drawn from a literary text by using cited textual evidence.
"7.RI.2, 8.RI.2",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.4,"Determine the central idea of an expository text on topics of history, social studies, science, and technology."
"7.RI.2, 8.RI.2",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.5,Analyze how key details convey and support the central idea of an expository text.
"7.RI.2, 8.RI.2",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.6,Analyze the development of the central idea and its relationship to supporting details over the course of an expository text.
"7.RI.2, 8.RI.2",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.7,Provide an objective summary of an expository text.
"7.RI.3, 8.RI.3",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.8,"Analyze how events, ideas, and individuals interact and influence each other in an expository text. (e.g., how ideas influence individuals or events, or how individuals influence ideas or events)."
8.RI.3,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.9,"Analyze how a text connects or distinguishes individuals through the use of comparisons, analogies, or categories."
8.RI.3,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.10,"Analyze how a text connects or distinguishes ideas through the use of comparisons, analogies, or categories."
8.RI.3,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.11,"Analyze how a text connects or distinguishes events through the use of comparisons, analogies, or categories."
8.RI.4,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.12,Analyze how analogies from and allusions to other sources impact the meaning and tone of an expository text.
7.RI.5,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.13,"Determine which structure an author uses to organize an expository text. (e.g. compare/contrast, cause/effect problem/solution)"
8.RI.5,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.14,"Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept."
"7.RI.6, 8.RI.6",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.15,Determine and distinguish the author's perspective or positon from that of others presented in an expository text.
7.RI.6,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.16,Analyze how an author distinguishes his or her perspective or position from that of others expressed in a text.
8.RI.6,OLO.ELA,Middle,Expository Text,OLO.ET.7.8.17,Analyze how an author acknowledges and responds to conflicting evidence or viewpoints in an expository text.
"7.RI.9, 8.RI.9",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.18,Compare and contrast how two or more authors present key information and evidence in texts about the same topic.
"7.RI.9, 8.RI.9",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.19,Analyze how two or more authors writing about the same topic differ in their emphasis on evidence and their interpretations of facts.
"7.RI.9, 8.RI.9",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.20,Analyze the conflicting information and contrasting facts or interpretations in two or more texts written on the same topic.
"7.RI.10, 8.RI.10",OLO.ELA,Middle,Expository Text,OLO.ET.7.8.21,"By the end of the year, read and comprehend literary nonfiction within the 7–8 grade band text complexity ndependently and proficiently."
"7.RL.10, 8.RL.10",OLO.ELA,Middle,Fluency,OLO.F.7.8.1,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, within the 7–8 grade band proficiently, with scaffolding as needed at the high end of the range."
7.L.1.a,OLO.ELA,Middle,Grammar & Usage,OLO.GU.7.8.1,Identify noun phrases as subjects of a sentence.
7.L.1.a,OLO.ELA,Middle,Grammar & Usage,OLO.GU.7.8.2,Recognize appositive phrases as noun phrases that further identify the subject of a sentence.
