,Full Notation,Category,Description,,Notes,
,,,,,,
,8.SP.1.1,Scatter Plots,Create a scatterplot of a set of points.,,"Should this be ""Create a scatterplot of a set of points""?",
,8.SP.1.2,Scatter Plots,Interpret a scatter plot as linear or nonlinear,,,
,8.SP.1.3,Scatter Plots,Interpret a graph as strong correlation (clustering) or weak (outliers),,,
,8.SP.1.4,Scatter Plots,Construct a scatter plot on a plane using two variables,,,
,8.SP.1.5,Scatter Plots,Investigate the relationship between two quantities on a scatter plot.  ,,"What does ""investigate"" mean? Can you be more precise about what you want students to be able to do and what ""mastery"" means?",
,8.SP.1.6,Scatter Plots,"Analyze the trend of a scatter plot and determine whether there is a positive, negative(linear), or no relationship(non­linear)",,,
,8.SP.1.7,Scatter Plots,Predict future outcomes using a scatter plot,,,
,,Scatter Plots,,,,
,,Scatter Plots,,None (group under SP.1 above),Should this be part of the preceding section?,
,8.SP.2.1,Scatter Plots,"8.SP.2.1  For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line.",,I am not sure the first part of this should be an objective. Do you think this is demonstrable? I think the second part is good.,
,,,,,,
,,,,,,
,8.SP.3.1,Graphs and Equations,Graph an equation to demonstrate how the data is related,,,
,8.SP.3.2,Graphs and Equations,Use the line of best fit to determine an equation in two variables for the data (y=mx + b),,,
,8.SP.3.3,Graphs and Equations,Use slope intercept form (y= mx + b) to determine the slope and y­intercept of the line of best fit,,,
,8.SP.3.4,Graphs and Equations,Interpret the meaning of the slope and y ­intercept in the context of the data given,,,
,8.SP.3.5,Graphs and Equations,Determine relevant information from graph,,"Can you be more precise about what you want students to be able to do and what ""mastery"" means?",
,,,,,,
,,,,,,
,8.SP.4.1,Frequency Tables,Create a frequency table with collected data,,,
,8.SP.4.2,Frequency Tables,Interpret a frequency table,,"Can you be more precise about what you want students to be able to do and what ""mastery"" means?",
,8.SP.4.3,Frequency Tables,Determine if there is a correlation between the information ,,Is this the same as the next objective (4.4)?  ,
,8.SP.4.4,Frequency Tables,Read a graph to determine a correlation,,,
,8.SP.4.5,Frequency Tables,Construct a graph based on information given,,,
,8.SP.4.6,Frequency Tables,Make predictions and analyze the data between the variables in the frequency table ,,,
,8.SP.4.7,Frequency Tables,Justify and defend the accuracy of my predictions,,"I think this objective is fine, but you will need to be clear about what mastery means.  I'm confused by your request.",
,,,,,,
,,,,,,
,8.EE.7.a.1,One-variable linear equations,Recognize one ­variable linear equations with one solution. ,,,
,8.EE.7.a.2,One-variable linear equations,Recognize one ­variable linear equations with no solution.,,,
,8.EE.7.a.3,One-variable linear equations,Recognize one ­variable linear equations with infinite solutions.,,,
,8.EE.7.a.4,One-variable linear equations,Give examples of one ­variable linear equations with one solution.  ,,,
,8.EE.7.a.5,One-variable linear equations,Give examples of one­ variable linear equations with no solution.,,,
,8.EE.7.a.6,One-variable linear equations,Give examples of one­ variable linear equations with infinite solutions.,,,
,8.EE.7.a.7,One-variable linear equations,"Solve multi­step one-­variable linear equations, by combining like terms (w/rational coefficients).",,,
,8.EE.7.a.8,One-variable linear equations,"Solve multi­step one-­variable linear equations, involving distributive property (w/rational coefficients).",,,
,,,,,,
,,,,,,
